"trial_type","trial_number","key_pressed","correctness","pause","RT","key1","key2","q","p","target_object","target_position","condition","focalColor","focalShape","focalNumber","elemSize","total","start_with","otherShape","otherColor","sort","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"practice","1","q","incorrect","1657","763","q","p","square","circle","circle","left","incongruent","blue","circle","1","100","2","focal","square","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","2","q","correct","1888","816","q","p","square","circle","square","left","congruent","blue","square","1","100","2","focal","circle","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","3","p","correct","2635","514","q","p","square","circle","circle","right","congruent","blue","circle","1","100","2","other","square","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","4","q","correct","2620","516","q","p","square","circle","square","left","congruent","blue","square","1","100","2","focal","circle","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","5","q","correct","1596","433","q","p","square","circle","square","left","congruent","blue","square","1","100","2","focal","circle","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","6","q","correct","2325","391","q","p","square","circle","square","left","congruent","blue","square","1","100","2","focal","circle","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","7","q","incorrect","1448","356","q","p","square","circle","circle","left","incongruent","blue","circle","1","100","2","focal","square","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","8","p","correct","2236","622","q","p","square","circle","circle","left","incongruent","blue","circle","1","100","2","focal","square","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","9","p","correct","1805","522","q","p","square","circle","circle","right","congruent","blue","circle","1","100","2","other","square","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
"practice","10","p","correct","1741","601","q","p","square","circle","circle","left","incongruent","blue","circle","1","100","2","focal","square","white","split_grid","Wed May 13 2020 09:18:18 GMT+0200 (Mitteleuropäische Sommerzeit)","1589354298297","28","female","Experimental Psych Lab","981792","","1589354812939","8.577366666666666","52",
